date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct,would_have_won
2024-04-11,AMAT,3,6.9,4.9,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.3,4.8,212.97,189.43,-11.05,False
2024-04-12,GOOGL,1,7.8,5.1,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",9.3,6.1,157.77,158.2,0.27,True
2024-04-12,AAPL,2,6.6,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.1,5.8,176.62,166.81,-5.55,False
2024-04-12,AMZN,3,7.4,5.4,2.0,RS_LEADER,8.3,4.4,186.2,179.59,-3.55,False
2024-04-15,GOOGL,1,7.9,7.0,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.7,4.6,154.83,159.21,2.83,True
2024-04-15,AMZN,2,8.6,7.4,2.0,VOLATILITY_EXPANSION,8.5,5.9,183.63,176.59,-3.83,False
2024-04-15,QCOM,3,7.4,6.8,2.0,VOLATILITY_EXPANSION,6.5,4.6,169.83,163.6,-3.67,False
2024-04-16,MU,1,7.7,7.6,2.0,RS_LEADER,9.3,2.6,121.71,111.7,-8.22,False
2024-04-16,AMZN,2,8.0,7.6,0.0,,8.6,3.7,183.34,173.72,-5.25,False
2024-04-16,AAPL,3,6.2,5.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",4.7,2.4,169.34,169.94,0.35,True
2024-04-17,GOOGL,1,7.6,7.0,2.0,RS_LEADER,8.8,3.9,155.45,171.96,10.62,True
2024-04-17,AMZN,2,7.0,7.3,2.0,VOLATILITY_EXPANSION,7.2,2.1,181.26,179.52,-0.96,False
2024-04-17,FCX,3,7.6,6.9,0.0,,8.8,4.2,49.8,50.5,1.41,True
2024-04-18,FCX,1,7.7,6.9,2.0,RS_LEADER,9.2,4.4,50.18,52.43,4.48,True
2024-04-18,NEM,2,7.3,5.5,2.0,RS_LEADER,9.2,3.7,38.55,42.24,9.57,True
2024-04-18,GOOGL,3,7.9,7.0,0.0,,8.8,4.7,155.97,166.13,6.51,True
2024-04-19,FCX,1,8.3,7.5,2.0,RS_LEADER,8.9,4.3,49.56,49.94,0.77,True
2024-04-19,NEM,2,7.9,5.6,2.0,RS_LEADER,9.5,5.0,39.03,40.64,4.13,True
2024-04-19,NKE,3,6.5,4.5,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.3,5.4,94.55,92.26,-2.42,False
2024-04-22,GOOGL,1,7.9,7.4,0.0,,8.6,3.8,156.3,163.78,4.79,True
2024-04-22,NKE,2,6.8,4.7,2.0,RS_LEADER,8.0,5.3,94.22,90.32,-4.14,False
2024-04-22,FCX,3,7.1,7.2,0.0,,7.9,2.1,48.99,49.91,1.88,True
2024-04-23,GOOGL,1,8.0,7.0,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.7,5.0,158.2,166.66,5.35,True
2024-04-23,NEM,2,7.4,5.4,0.0,,7.0,5.0,37.71,41.04,8.83,True
2024-04-23,DDOG,3,6.5,4.6,2.0,VOLATILITY_EXPANSION,7.4,4.8,126.36,125.47,-0.7,False
2024-04-24,GOOGL,1,7.9,6.7,3.0,BREAKOUT_STRUCTURE,8.7,5.4,159.21,167.25,5.05,True
2024-04-24,NKE,2,7.1,4.9,3.0,BREAKOUT_STRUCTURE,7.1,5.2,94.64,92.17,-2.61,False
2024-04-24,EBAY,3,6.0,4.7,5.0,"MOMENTUM_EXPANSION,RS_LEADER",6.8,3.4,51.17,49.66,-2.95,False
2024-04-25,NEM,1,6.7,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",9.7,5.3,43.41,41.39,-4.65,False
